57,47
36,50
26,72
65,11
83,14
64,11
6,55
11,10
60,6
70,62
71,85
36,30
7,96
58,6
78,51
93,22
13,42
3,16
97,35
97,81
94,32
68,90
7,98
90,59
98,24
90,85
6,16
11,86
64,78
71,98
82,81
13,78
86,32
16,77
92,12
91,43
50,71
96,91
29,51
12,92
40,80
38,91
93,48
43,39
29,79
67,27
88,39
40,41
98,91
46,21
11,86
39,99
56,94
96,0
100,37
55,43
59,37
96,44
68,9
81,47
29,44
75,96
38,8
48,69
44,22
71,47
39,54
93,7
47,53
9,99
54,53
24,96
71,39
10,41
11,40
5,16
14,13
56,26
66,3
89,75
90,62
57,13
22,34
65,76
31,5
2,13
62,84
8,91
43,22
85,67
29,18
41,12
24,39
43,20
45,91
58,33
86,8
44,100
58,95
53,85
